shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,LINK_ID,osmid,shstRefId
940001,44.95018,-93.085111,20002,337079,262493259,3539b59273a9af7e37335404f8552345
940001,44.950558,-93.085474,20003,337079,262493259,3539b59273a9af7e37335404f8552345
940001,44.950786,-93.085689,20004,15113,"18220154,262493259",
940001,44.950862,-93.085784,20005,15113,"18220154,262493259",
940001,44.950895,-93.085844,20006,15113,"18220154,262493259",
940001,44.950904,-93.085891,20007,15113,"18220154,262493259",
940001,44.950907,-93.085938,20008,15113,"18220154,262493259",
940001,44.95088,-93.086042,20009,15113,"18220154,262493259",
940001,44.95081,-93.086213,20010,185177,420761664,db69f8492a9726521dcd53e6b009d9bb
940001,44.950611,-93.086592,20011,185177,420761664,db69f8492a9726521dcd53e6b009d9bb
940001,44.950459,-93.086913,20012,97011,197617331,5171c98ecddec94f2f7688e0886e3495
940001,44.950459,-93.086913,30001,97011,197617331,5171c98ecddec94f2f7688e0886e3495
940001,44.95007,-93.087734,30002,97011,197617331,5171c98ecddec94f2f7688e0886e3495
940001,44.94951500000001,-93.088904,30003,167801,223371530,0a45c62c0f96da70346309dea24bb853
940001,44.949325,-93.089306,30004,149010,223371529,22256deb8288a47efa42ea8ae6849285
940001,44.949325,-93.089306,40001,149010,223371529,22256deb8288a47efa42ea8ae6849285
940001,44.948867,-93.090276,40002,78754,223371529,a140e2a333e0ba278ccab11cbee5056a
940001,44.94853300000001,-93.090975,40003,78754,223371529,a140e2a333e0ba278ccab11cbee5056a
940001,44.94853300000001,-93.090975,50001,78754,223371529,a140e2a333e0ba278ccab11cbee5056a
940001,44.948224,-93.09162,50002,78754,223371529,a140e2a333e0ba278ccab11cbee5056a
940001,44.94763,-93.092863,50003,85208,223371528,f89fec3332dd503f754dc5adde048fa3
940001,44.947151,-93.093873,50004,85208,223371528,f89fec3332dd503f754dc5adde048fa3
940001,44.947151,-93.093873,60001,85208,223371528,f89fec3332dd503f754dc5adde048fa3
940001,44.947102,-93.093976,60002,85208,223371528,f89fec3332dd503f754dc5adde048fa3
940001,44.946498,-93.095242,60003,154035,637912019,23f4bf6121c4220c46c530eb95664cb4
940001,44.946239,-93.095787,60004,94516,18210226,4313d91b9ce4bb47dea617021ab2e4ed
940001,44.946239,-93.095787,70001,94516,18210226,4313d91b9ce4bb47dea617021ab2e4ed
940001,44.945951,-93.096391,70002,151634,18210226,da1e0455cad9752b977334e3bb82f720
940001,44.946027,-93.09647,70003,151634,18210226,da1e0455cad9752b977334e3bb82f720
940001,44.946042,-93.096574,70004,94499,18210226,f9829448a152abb7c7a12221ae5fcdea
