trip_id,headway_secs
14940701-JUN19-MVS-BUS-Weekday-01,3600
14940707-JUN19-MVS-BUS-Weekday-01,1200
14940721-JUN19-MVS-BUS-Weekday-01,5400
14940963-JUN19-MVS-BUS-Weekday-01,1200
14940964-JUN19-MVS-BUS-Weekday-01,1200
14940965-JUN19-MVS-BUS-Weekday-01,1136
14940975-JUN19-MVS-BUS-Weekday-01,981
14941148-JUN19-MVS-BUS-Weekday-01,830
14941151-JUN19-MVS-BUS-Weekday-01,540
14941153-JUN19-MVS-BUS-Weekday-01,696
14941163-JUN19-MVS-BUS-Weekday-01,830
14941433-JUN19-MVS-BUS-Weekday-01,830
14941444-JUN19-MVS-BUS-Weekday-01,830
14941446-JUN19-MVS-BUS-Weekday-01,864
14941467-JUN19-MVS-BUS-Weekday-01,830
14941591-JUN19-MVS-BUS-Weekday-01,1136
14941596-JUN19-MVS-BUS-Weekday-01,1200
14941643-JUN19-MVS-BUS-Weekday-01,900
14941652-JUN19-MVS-BUS-Weekday-01,1200
14942759-JUN19-MVS-BUS-Weekday-01,1080
14942763-JUN19-MVS-BUS-Weekday-01,1200
14942793-JUN19-MVS-BUS-Weekday-01,1440
14942794-JUN19-MVS-BUS-Weekday-01,1542
14942968-JUN19-MVS-BUS-Weekday-01,5400
14943226-JUN19-MVS-BUS-Weekday-01,2160
14943231-JUN19-MVS-BUS-Weekday-01,1800
14943250-JUN19-MVS-BUS-Weekday-01,1800
14943256-JUN19-MVS-BUS-Weekday-01,1800
14943414-JUN19-MVS-BUS-Weekday-01,2160
14943415-JUN19-MVS-BUS-Weekday-01,5400
14943816-JUN19-MVS-BUS-Weekday-01,1350
14943818-JUN19-MVS-BUS-Weekday-01,1800
14943841-JUN19-MVS-BUS-Weekday-01,1350
14943845-JUN19-MVS-BUS-Weekday-01,1800
14944012-JUN19-MVS-BUS-Weekday-01,553
14944018-JUN19-MVS-BUS-Weekday-01,720
14944019-JUN19-MVS-BUS-Weekday-01,526
14944022-JUN19-MVS-BUS-Weekday-01,771
14944320-JUN19-MVS-BUS-Weekday-01,1800
14944321-JUN19-MVS-BUS-Weekday-01,1800
14944323-JUN19-MVS-BUS-Weekday-01,1800
14944324-JUN19-MVS-BUS-Weekday-01,1800
14944379-JUN19-MVS-BUS-Weekday-01,1542
14944386-JUN19-MVS-BUS-Weekday-01,1800
