route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id
452-111,JUN19-MVS-BUS-Weekday-01,14940701-JUN19-MVS-BUS-Weekday-01,Westbound 452  Express / Minneapolis,1,1874,4520004,1.0,,,,,
134-111,JUN19-MVS-BUS-Weekday-01,14940707-JUN19-MVS-BUS-Weekday-01,Westbound 134  Ltd Stop / Cleveland / Minneapolis,1,1696,1340002,1.0,,,,,
134-111,JUN19-MVS-BUS-Weekday-01,14940721-JUN19-MVS-BUS-Weekday-01,Eastbound 134A  Ltd Stop / Cleveland / Ford Pkwy,0,1699,1340006,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940963-JUN19-MVS-BUS-Weekday-01,Eastbound 63K E 3rd St / Lower Afton / Via Sunray,0,1562,630009,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940964-JUN19-MVS-BUS-Weekday-01,Westbound 63B Grand Ave/Westgate Sta,1,1556,630010,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940965-JUN19-MVS-BUS-Weekday-01,Eastbound 63K E 3rd St / Lower Afton / Via Sunray,0,1556,630009,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940975-JUN19-MVS-BUS-Weekday-01,Westbound 63B Grand Ave/Westgate Sta,1,1557,630010,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941148-JUN19-MVS-BUS-Weekday-01,Eastbound 3B Como Av/St Paul - Depot/Via Front,0,1018,30009,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941151-JUN19-MVS-BUS-Weekday-01,Westbound 3B Como-Front/Dwtn Mpls/Target Field,1,1017,30014,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941153-JUN19-MVS-BUS-Weekday-01,Westbound 3B Como-Front/Dwtn Mpls/Target Field,1,1017,30014,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941163-JUN19-MVS-BUS-Weekday-01,Eastbound 3B Como Av/St Paul - Depot/Via Front,0,1036,30009,1.0,,,,,
64-111,JUN19-MVS-BUS-Weekday-01,14941433-JUN19-MVS-BUS-Weekday-01,Eastbound 64N  Payne Av/Mplwd Mall/Via N St Paul,0,1573,640004,1.0,,,,,
64-111,JUN19-MVS-BUS-Weekday-01,14941444-JUN19-MVS-BUS-Weekday-01,Westbound 64  Downtown / Via N St Paul,1,1570,640001,1.0,,,,,
64-111,JUN19-MVS-BUS-Weekday-01,14941446-JUN19-MVS-BUS-Weekday-01,Westbound 64  Downtown / Via N St Paul,1,1570,640001,1.0,,,,,
64-111,JUN19-MVS-BUS-Weekday-01,14941467-JUN19-MVS-BUS-Weekday-01,Eastbound 64N  Payne Av/Mplwd Mall/Via N St Paul,0,1578,640004,1.0,,,,,
74-111,JUN19-MVS-BUS-Weekday-01,14941591-JUN19-MVS-BUS-Weekday-01,Eastbound 74S  E 7th St / Sunray,0,1644,740002,1.0,,,,,
74-111,JUN19-MVS-BUS-Weekday-01,14941596-JUN19-MVS-BUS-Weekday-01,Eastbound 74S  E 7th St / Sunray,0,1650,740002,1.0,,,,,
74-111,JUN19-MVS-BUS-Weekday-01,14941643-JUN19-MVS-BUS-Weekday-01,Westbound 74A  Randolph Av / 46St Station,1,1642,740006,1.0,,,,,
74-111,JUN19-MVS-BUS-Weekday-01,14941652-JUN19-MVS-BUS-Weekday-01,Westbound 74A  Randolph Av / 46St Station,1,1642,740006,1.0,,,,,
68-111,JUN19-MVS-BUS-Weekday-01,14942759-JUN19-MVS-BUS-Weekday-01,Northbound 68M Jackson St/Rice - Larp/12th-Thompson,0,1605,680007,1.0,,,,,
68-111,JUN19-MVS-BUS-Weekday-01,14942763-JUN19-MVS-BUS-Weekday-01,Northbound 68M Jackson St/Rice Larp/Oakdale-Marie,0,1607,680009,1.0,,,,,
68-111,JUN19-MVS-BUS-Weekday-01,14942793-JUN19-MVS-BUS-Weekday-01,Southbound 68C  Robert St / 5th-South/Thompson-12th,1,1606,680016,1.0,,,,,
68-111,JUN19-MVS-BUS-Weekday-01,14942794-JUN19-MVS-BUS-Weekday-01,Southbound 68C  Robert St / 5th-South/Thompson-12th,1,1605,680016,1.0,,,,,
417-111,JUN19-MVS-BUS-Weekday-01,14942968-JUN19-MVS-BUS-Weekday-01,Northbound 417 Ltd Stop/ Dodd Rd/ St Paul,0,31290,4170001,1.0,,,,,
