agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_raw_name,agency_phone,agency_fare_url,agency_email
BART,Bay Area Rapid Transit,http://www.bart.gov,America/Los_Angeles,en,BART_2015_8_3,,,
CE,ACE Altamont Corridor Express,http://www.acerail.com/,America/Los_Angeles,en,ACE_2017_3_20,8004117245,,
,County Connection,http://www.countyconnection.com/,America/Los_Angeles,EN,CCTA_2015_8_11,925-676-7500,,
caltrain-ca-us,Caltrain,http://www.caltrain.com,America/Los_Angeles,en,Caltrain_2015_5_13,800-660-4287,,
573,Emery Go-Round,http://www.emerygoround.com/,America/Los_Angeles,en,Emeryville_2016_10_26,(510) 451-3862,,
36,Fairfield and Suisun Transit,http://www.fasttransit.org/,America/Los_Angeles,en,Fairfield_2015_10_14,707-422-2877,http://www.fasttransit.org/fares-passes/,
,Golden Gate Transit,http://www.goldengate.org,America/Vancouver,en,GGTransit_2015_9_3,(415) 455-2000),http://www.goldengatetransit.org/fareprograms/,
533,MVgo Mountain View,http://www.mvgo.org,America/Los_Angeles,en,MVGo_2016_10_26,(650) 933-2518,http://mvgo.org/rider-info.html,
,Stanford Marguerite Shuttle,http://marguerite.stanford.edu,America/Los_Angeles,en,Marguerite_2016_10_10,650-723-9362,,
MCTD,Marin Transit,http://marintransit.org,America/Los_Angeles,en,MarinTransit_2015_8_31,415-226-0855,,
5,Rio Vista Delta Breeze,http://www.riovistacity.com/transit/,America/Los_Angeles,en,RioVista_2015_8_20,(707) 374-2878,,
SFMTA,San Francisco Municipal Transportation Agency,http://www.sfmta.com,America/Los_Angeles,en,SFMTA_2015_8_11,,,
samtrans-ca-us,SamTrans,http://www.samtrans.com,America/Los_Angeles,en,SamTrans_2015_8_20,800-660-4287,,
247,SolTrans,http://www.soltransride.com,America/Vancouver,en,Soltrans_2016_5_20,(707) 648-4666,http://www.soltransride.com/fares/fares,
183,Cloverdale Transit,http://www.cloverdale.net/index.aspx?NID=267,America/Los_Angeles,en,SonomaCounty_2015_8_18,(707) 894-2521,,
175,Sonoma County Transit,http://www.sctransit.com/?referrer=gtfs,America/Los_Angeles,en,SonomaCounty_2015_8_18,(707) 576-7433,http://sctransit.com/fares/?referrer=gtfs,
VTA,VTA,http://www.vta.org,America/Los_Angeles,EN,VTA_2015_8_27,408-321-2300,,
tri-delta-transit,Tri Delta Transit,http://trideltatransit.com,America/Los Angeles,en,TriDelta-GTFS-2018-05-24_21-43-17,(925) 754-4040,http://trideltatransit.com/fares.aspx,
UCT,Union City Transit,http://www.uctransit.org,America/Los_Angeles,EN,Union_City_Transit_Aug-01-2015 to Jun-30-2017,510-471-1411,http://www.unioncity.org/departments/transit/fares/fares-information,transit@unioncity.org
362,Vine (Napa County),http://www.ridethevine.com/vine,America/Los_Angeles,EN,Vine_GTFS_PLUS_2015,,,
267,Petaluma Transit,http://cityofpetaluma.net/pubworks/transit-sub.html,America/Los_Angeles,en,petalumatransit-petaluma-ca-us__11_12_15,(707)778-4303,http://cityofpetaluma.net/pubworks/fares-transfers.html,
869,Vacaville City Coach,http://www.citycoach.com/,America/Los_Angeles,en,vacavillecitycoach-2020-ca-us,707-449-6000,http://www.citycoach.com/fares/,
392,WestCat (Western Contra Costa),http://www.westcat.org/index.html,America/Los_Angeles,en,westcat-ca-us_9_17_2015,510-724-7993,http://www.westcat.org/fares/index.html,
SB,San Francisco Bay Ferry,http://www.sanfranciscobayferry.com,America/Los_Angeles,en,SF_Bay_Ferry2016_07_01,4157058291,,
AC Transit,AC Transit,http://www.actransit.org,America/Los_Angeles,,ACTransit_2015_8_14,(510) 891-4777,,
BG,Blue & Gold Fleet,http://www.blueandgoldfleet.com/,America/Los_Angeles,en,Blue&Gold_gtfs_10_4_2017,4157058200,,
AM,Capitol Corridor,http://www.capitolcorridor.org,America/Los_Angeles,en,Capitol_2017_3_20,8779743322,,
SRCityBus,Santa Rosa CityBus,http://ci.santa-rosa.ca.us/departments/transit/CityBus/Pages/default.aspx,America/Los_Angeles,en,SantaRosa_google_transit_08_28_15,707-543-3333,http://ci.santa-rosa.ca.us/departments/transit/citybus/Pages/Fares.aspx,
LAVTA,Wheels Bus,http://wheelsbus.com/,America/Los_Angeles,en,Wheels_2016_7_13,(925) 455-7500,http://wheelsbus.com/index.aspx?page=198,
alliance,Commute.org Shuttle,http://www.commute.org,America/Los_Angeles,en,(650) 588-8170,commuteDOTorg_GTFSImportExport_20160127_final_mj,,
