fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_raw_name,agency_id
178837,4.5,USD,1.0,0.0,,ACE_2017_3_20,
178838,5.5,USD,1.0,0.0,,ACE_2017_3_20,
178839,9.5,USD,1.0,0.0,,ACE_2017_3_20,
178840,10.75,USD,1.0,0.0,,ACE_2017_3_20,
178841,13.75,USD,1.0,0.0,,ACE_2017_3_20,
178842,5.25,USD,1.0,0.0,,ACE_2017_3_20,
178843,9.0,USD,1.0,0.0,,ACE_2017_3_20,
178844,10.25,USD,1.0,0.0,,ACE_2017_3_20,
178845,12.75,USD,1.0,0.0,,ACE_2017_3_20,
178846,5.25,USD,1.0,0.0,,ACE_2017_3_20,
178847,9.0,USD,1.0,0.0,,ACE_2017_3_20,
178848,10.25,USD,1.0,0.0,,ACE_2017_3_20,
178849,4.0,USD,1.0,0.0,,ACE_2017_3_20,
178850,5.25,USD,1.0,0.0,,ACE_2017_3_20,
178851,9.0,USD,1.0,0.0,,ACE_2017_3_20,
178852,5.25,USD,1.0,0.0,,ACE_2017_3_20,
178853,4.0,USD,1.0,0.0,,ACE_2017_3_20,
37,1.85,USD,1.0,,,BART_2015_8_3,
38,1.9,USD,1.0,,,BART_2015_8_3,
39,1.95,USD,1.0,,,BART_2015_8_3,
40,2.0,USD,1.0,,,BART_2015_8_3,
41,2.05,USD,1.0,,,BART_2015_8_3,
42,2.1,USD,1.0,,,BART_2015_8_3,
43,2.15,USD,1.0,,,BART_2015_8_3,
44,2.2,USD,1.0,,,BART_2015_8_3,
45,2.25,USD,1.0,,,BART_2015_8_3,
46,2.3,USD,1.0,,,BART_2015_8_3,
47,2.35,USD,1.0,,,BART_2015_8_3,
48,2.4,USD,1.0,,,BART_2015_8_3,
49,2.45,USD,1.0,,,BART_2015_8_3,
50,2.5,USD,1.0,,,BART_2015_8_3,
51,2.55,USD,1.0,,,BART_2015_8_3,
52,2.6,USD,1.0,,,BART_2015_8_3,
53,2.65,USD,1.0,,,BART_2015_8_3,
55,2.75,USD,1.0,,,BART_2015_8_3,
56,2.8,USD,1.0,,,BART_2015_8_3,
57,2.85,USD,1.0,,,BART_2015_8_3,
58,2.9,USD,1.0,,,BART_2015_8_3,
59,2.95,USD,1.0,,,BART_2015_8_3,
60,3.0,USD,1.0,,,BART_2015_8_3,
61,3.05,USD,1.0,,,BART_2015_8_3,
62,3.1,USD,1.0,,,BART_2015_8_3,
63,3.15,USD,1.0,,,BART_2015_8_3,
64,3.2,USD,1.0,,,BART_2015_8_3,
65,3.25,USD,1.0,,,BART_2015_8_3,
66,3.3,USD,1.0,,,BART_2015_8_3,
67,3.35,USD,1.0,,,BART_2015_8_3,
68,3.4,USD,1.0,,,BART_2015_8_3,
69,3.45,USD,1.0,,,BART_2015_8_3,
70,3.5,USD,1.0,,,BART_2015_8_3,
71,3.55,USD,1.0,,,BART_2015_8_3,
72,3.6,USD,1.0,,,BART_2015_8_3,
73,3.65,USD,1.0,,,BART_2015_8_3,
74,3.7,USD,1.0,,,BART_2015_8_3,
75,3.75,USD,1.0,,,BART_2015_8_3,
76,3.8,USD,1.0,,,BART_2015_8_3,
77,3.85,USD,1.0,,,BART_2015_8_3,
78,3.9,USD,1.0,,,BART_2015_8_3,
79,3.95,USD,1.0,,,BART_2015_8_3,
80,4.0,USD,1.0,,,BART_2015_8_3,
81,4.05,USD,1.0,,,BART_2015_8_3,
82,4.1,USD,1.0,,,BART_2015_8_3,
83,4.15,USD,1.0,,,BART_2015_8_3,
84,4.2,USD,1.0,,,BART_2015_8_3,
85,4.25,USD,1.0,,,BART_2015_8_3,
86,4.3,USD,1.0,,,BART_2015_8_3,
87,4.35,USD,1.0,,,BART_2015_8_3,
88,4.4,USD,1.0,,,BART_2015_8_3,
89,4.45,USD,1.0,,,BART_2015_8_3,
90,4.5,USD,1.0,,,BART_2015_8_3,
91,4.55,USD,1.0,,,BART_2015_8_3,
92,4.6,USD,1.0,,,BART_2015_8_3,
93,4.65,USD,1.0,,,BART_2015_8_3,
94,4.7,USD,1.0,,,BART_2015_8_3,
95,4.75,USD,1.0,,,BART_2015_8_3,
96,4.8,USD,1.0,,,BART_2015_8_3,
97,4.85,USD,1.0,,,BART_2015_8_3,
98,4.9,USD,1.0,,,BART_2015_8_3,
99,4.95,USD,1.0,,,BART_2015_8_3,
100,5.0,USD,1.0,,,BART_2015_8_3,
101,5.05,USD,1.0,,,BART_2015_8_3,
102,5.1,USD,1.0,,,BART_2015_8_3,
103,5.15,USD,1.0,,,BART_2015_8_3,
104,5.2,USD,1.0,,,BART_2015_8_3,
105,5.25,USD,1.0,,,BART_2015_8_3,
106,5.3,USD,1.0,,,BART_2015_8_3,
107,5.35,USD,1.0,,,BART_2015_8_3,
108,5.4,USD,1.0,,,BART_2015_8_3,
109,5.45,USD,1.0,,,BART_2015_8_3,
110,5.5,USD,1.0,,,BART_2015_8_3,
111,5.55,USD,1.0,,,BART_2015_8_3,
112,5.6,USD,1.0,,,BART_2015_8_3,
113,5.65,USD,1.0,,,BART_2015_8_3,
114,5.7,USD,1.0,,,BART_2015_8_3,
115,5.75,USD,1.0,,,BART_2015_8_3,
116,5.8,USD,1.0,,,BART_2015_8_3,
117,5.85,USD,1.0,,,BART_2015_8_3,
118,5.9,USD,1.0,,,BART_2015_8_3,
119,5.95,USD,1.0,,,BART_2015_8_3,
120,6.0,USD,1.0,,,BART_2015_8_3,
121,6.05,USD,1.0,,,BART_2015_8_3,
122,6.1,USD,1.0,,,BART_2015_8_3,
123,6.15,USD,1.0,,,BART_2015_8_3,
124,6.2,USD,1.0,,,BART_2015_8_3,
125,6.25,USD,1.0,,,BART_2015_8_3,
126,6.3,USD,1.0,,,BART_2015_8_3,
127,6.35,USD,1.0,,,BART_2015_8_3,
128,6.4,USD,1.0,,,BART_2015_8_3,
129,6.45,USD,1.0,,,BART_2015_8_3,
130,6.5,USD,1.0,,,BART_2015_8_3,
131,6.55,USD,1.0,,,BART_2015_8_3,
132,6.6,USD,1.0,,,BART_2015_8_3,
133,6.65,USD,1.0,,,BART_2015_8_3,
134,6.7,USD,1.0,,,BART_2015_8_3,
135,6.75,USD,1.0,,,BART_2015_8_3,
136,6.8,USD,1.0,,,BART_2015_8_3,
139,6.95,USD,1.0,,,BART_2015_8_3,
140,7.0,USD,1.0,,,BART_2015_8_3,
142,7.1,USD,1.0,,,BART_2015_8_3,
144,7.2,USD,1.0,,,BART_2015_8_3,
148,7.4,USD,1.0,,,BART_2015_8_3,
150,7.5,USD,1.0,,,BART_2015_8_3,
154,7.7,USD,1.0,,,BART_2015_8_3,
157,7.85,USD,1.0,,,BART_2015_8_3,
158,7.9,USD,1.0,,,BART_2015_8_3,
162,8.1,USD,1.0,,,BART_2015_8_3,
163,8.15,USD,1.0,,,BART_2015_8_3,
164,8.2,USD,1.0,,,BART_2015_8_3,
165,8.25,USD,1.0,,,BART_2015_8_3,
167,8.35,USD,1.0,,,BART_2015_8_3,
169,8.45,USD,1.0,,,BART_2015_8_3,
170,8.5,USD,1.0,,,BART_2015_8_3,
172,8.6,USD,1.0,,,BART_2015_8_3,
173,8.65,USD,1.0,,,BART_2015_8_3,
177,8.85,USD,1.0,,,BART_2015_8_3,
178,8.9,USD,1.0,,,BART_2015_8_3,
179,8.95,USD,1.0,,,BART_2015_8_3,
180,9.0,USD,1.0,,,BART_2015_8_3,
181,9.05,USD,1.0,,,BART_2015_8_3,
182,9.1,USD,1.0,,,BART_2015_8_3,
183,9.15,USD,1.0,,,BART_2015_8_3,
184,9.2,USD,1.0,,,BART_2015_8_3,
185,9.25,USD,1.0,,,BART_2015_8_3,
186,9.3,USD,1.0,,,BART_2015_8_3,
187,9.35,USD,1.0,,,BART_2015_8_3,
188,9.4,USD,1.0,,,BART_2015_8_3,
189,9.45,USD,1.0,,,BART_2015_8_3,
190,9.5,USD,1.0,,,BART_2015_8_3,
193,9.65,USD,1.0,,,BART_2015_8_3,
194,9.7,USD,1.0,,,BART_2015_8_3,
196,9.8,USD,1.0,,,BART_2015_8_3,
197,9.85,USD,1.0,,,BART_2015_8_3,
198,9.9,USD,1.0,,,BART_2015_8_3,
201,10.05,USD,1.0,,,BART_2015_8_3,
203,10.15,USD,1.0,,,BART_2015_8_3,
204,10.2,USD,1.0,,,BART_2015_8_3,
205,10.25,USD,1.0,,,BART_2015_8_3,
207,10.35,USD,1.0,,,BART_2015_8_3,
208,10.4,USD,1.0,,,BART_2015_8_3,
209,10.45,USD,1.0,,,BART_2015_8_3,
210,10.5,USD,1.0,,,BART_2015_8_3,
211,10.55,USD,1.0,,,BART_2015_8_3,
214,10.7,USD,1.0,,,BART_2015_8_3,
219,10.95,USD,1.0,,,BART_2015_8_3,
222,11.1,USD,1.0,,,BART_2015_8_3,
223,11.15,USD,1.0,,,BART_2015_8_3,
225,11.25,USD,1.0,,,BART_2015_8_3,
233,11.65,USD,1.0,,,BART_2015_8_3,
308,15.4,USD,1.0,,,BART_2015_8_3,
245200,9.75,USD,1.0,0.0,0.0,Blue&Gold_gtfs_10_4_2017,
245203,12.5,USD,1.0,0.0,0.0,Blue&Gold_gtfs_10_4_2017,
245206,12.5,USD,1.0,0.0,0.0,Blue&Gold_gtfs_10_4_2017,
OW_1_20141005,3.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_2_20141005,5.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_3_20141005,7.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
OW_4_20141005,9.25,USD,1.0,0.0,0.0,Caltrain_2015_5_13,
