fare_id,route_id_original,agency_raw_name,origin_id,destination_id,contains_id,route_id
178837,,ACE_2017_3_20,55448,55449,,
178838,,ACE_2017_3_20,55448,55450,,
178839,,ACE_2017_3_20,55448,55643,,
178840,,ACE_2017_3_20,55448,55644,,
178841,,ACE_2017_3_20,55448,55645,,
178842,,ACE_2017_3_20,55449,55450,,
178843,,ACE_2017_3_20,55449,55643,,
178844,,ACE_2017_3_20,55449,55644,,
178845,,ACE_2017_3_20,55449,55645,,
178846,,ACE_2017_3_20,55450,55643,,
178847,,ACE_2017_3_20,55450,55644,,
178848,,ACE_2017_3_20,55450,55645,,
178849,,ACE_2017_3_20,55643,55643,,
178850,,ACE_2017_3_20,55643,55644,,
178851,,ACE_2017_3_20,55643,55645,,
178852,,ACE_2017_3_20,55644,55645,,
178853,,ACE_2017_3_20,55645,55645,,
111,,BART_2015_8_3,SSAN,SSAN,,
62,,BART_2015_8_3,SSAN,SBRN,,
148,,BART_2015_8_3,SSAN,SFIA,,
62,,BART_2015_8_3,SSAN,MLBR,,
127,,BART_2015_8_3,SSAN,WDUB,,
103,,BART_2015_8_3,SSAN,RICH,,
98,,BART_2015_8_3,SSAN,DELN,,
95,,BART_2015_8_3,SSAN,PLZA,,
92,,BART_2015_8_3,SSAN,NBRK,,
91,,BART_2015_8_3,SSAN,DBRK,,
89,,BART_2015_8_3,SSAN,ASHB,,
87,,BART_2015_8_3,SSAN,MCAR,,
85,,BART_2015_8_3,SSAN,19TH,,
85,,BART_2015_8_3,SSAN,12TH,,
85,,BART_2015_8_3,SSAN,LAKE,,
90,,BART_2015_8_3,SSAN,FTVL,,
94,,BART_2015_8_3,SSAN,COLS,,
99,,BART_2015_8_3,SSAN,SANL,,
104,,BART_2015_8_3,SSAN,BAYF,,
109,,BART_2015_8_3,SSAN,HAYW,,
115,,BART_2015_8_3,SSAN,SHAY,,
124,,BART_2015_8_3,SSAN,UCTY,,
131,,BART_2015_8_3,SSAN,FRMT,,
109,,BART_2015_8_3,SSAN,CAST,,
131,,BART_2015_8_3,SSAN,DUBL,,
139,,BART_2015_8_3,SSAN,PITT,,
129,,BART_2015_8_3,SSAN,NCON,,
62,,BART_2015_8_3,SSAN,COLM,,
125,,BART_2015_8_3,SSAN,CONC,,
117,,BART_2015_8_3,SSAN,PHIL,,
114,,BART_2015_8_3,SSAN,WCRK,,
107,,BART_2015_8_3,SSAN,LAFY,,
100,,BART_2015_8_3,SSAN,ORIN,,
89,,BART_2015_8_3,SSAN,ROCK,,
83,,BART_2015_8_3,SSAN,WOAK,,
76,,BART_2015_8_3,SSAN,EMBR,,
76,,BART_2015_8_3,SSAN,MONT,,
76,,BART_2015_8_3,SSAN,POWL,,
76,,BART_2015_8_3,SSAN,CIVC,,
72,,BART_2015_8_3,SSAN,16TH,,
70,,BART_2015_8_3,SSAN,24TH,,
66,,BART_2015_8_3,SSAN,GLEN,,
