trip_id,headway_secs,start_time,end_time
1,3600,03:00:00,06:00:00
5,7200,06:00:00,10:00:00
4,3600,15:00:00,19:00:00
9,3600,03:00:00,06:00:00
10,2880,06:00:00,10:00:00
11,1107,15:00:00,19:00:00
20,1600,06:00:00,10:00:00
21,7200,06:00:00,10:00:00
22,7200,15:00:00,19:00:00
23,1440,06:00:00,10:00:00
31,1200,15:00:00,19:00:00
42,1800,19:00:00,03:00:00
44,14400,06:00:00,10:00:00
45,14400,06:00:00,10:00:00
46,7200,06:00:00,10:00:00
48,14400,15:00:00,19:00:00
49,14400,06:00:00,10:00:00
50,9000,10:00:00,15:00:00
51,18000,10:00:00,15:00:00
52,14400,15:00:00,19:00:00
53,18000,10:00:00,15:00:00
54,7200,15:00:00,19:00:00
55,18000,10:00:00,15:00:00
57,9000,10:00:00,15:00:00
58,18000,10:00:00,15:00:00
59,14400,15:00:00,19:00:00
60,18000,10:00:00,15:00:00
61,9000,10:00:00,15:00:00
63,14400,06:00:00,10:00:00
64,14400,06:00:00,10:00:00
65,14400,15:00:00,19:00:00
66,14400,06:00:00,10:00:00
67,18000,10:00:00,15:00:00
69,14400,06:00:00,10:00:00
74,4800,15:00:00,19:00:00
75,10800,19:00:00,03:00:00
78,2880,06:00:00,10:00:00
80,3600,19:00:00,03:00:00
81,1800,03:00:00,06:00:00
83,1309,15:00:00,19:00:00
91,1800,06:00:00,10:00:00
92,7200,06:00:00,10:00:00
94,14400,06:00:00,10:00:00
95,14400,06:00:00,10:00:00
96,18000,10:00:00,15:00:00
97,14400,15:00:00,19:00:00
104,10800,19:00:00,03:00:00
106,1800,06:00:00,10:00:00
108,1800,15:00:00,19:00:00
114,5400,19:00:00,03:00:00
116,2700,19:00:00,03:00:00
120,2057,15:00:00,19:00:00
126,10800,19:00:00,03:00:00
127,3600,03:00:00,06:00:00
128,2400,06:00:00,10:00:00
139,1600,06:00:00,10:00:00
144,1800,10:00:00,15:00:00
149,2057,15:00:00,19:00:00
153,5400,19:00:00,03:00:00
183,3600,03:00:00,06:00:00
184,1800,06:00:00,10:00:00
188,1800,10:00:00,15:00:00
193,1800,15:00:00,19:00:00
197,5400,19:00:00,03:00:00
199,1800,06:00:00,10:00:00
207,1800,10:00:00,15:00:00
217,1800,15:00:00,19:00:00
225,3600,19:00:00,03:00:00
228,1800,06:00:00,10:00:00
235,1800,10:00:00,15:00:00
245,1800,15:00:00,19:00:00
253,3600,19:00:00,03:00:00
257,720,06:00:00,10:00:00
277,720,10:00:00,15:00:00
302,720,15:00:00,19:00:00
322,5400,19:00:00,03:00:00
324,720,06:00:00,10:00:00
344,720,10:00:00,15:00:00
369,720,15:00:00,19:00:00
389,5400,19:00:00,03:00:00
392,3600,03:00:00,06:00:00
393,1800,06:00:00,10:00:00
395,1800,10:00:00,15:00:00
396,1800,10:00:00,15:00:00
399,1440,15:00:00,19:00:00
400,3600,19:00:00,03:00:00
408,1800,15:00:00,19:00:00
409,1600,06:00:00,10:00:00
443,1200,03:00:00,06:00:00
444,1800,03:00:00,06:00:00
447,1200,06:00:00,10:00:00
450,1200,06:00:00,10:00:00
459,1200,10:00:00,15:00:00
460,1200,15:00:00,19:00:00
462,1309,15:00:00,19:00:00
480,1542,19:00:00,03:00:00
481,1800,19:00:00,03:00:00
496,1800,03:00:00,06:00:00
507,1800,10:00:00,15:00:00
516,2700,19:00:00,03:00:00
522,1800,10:00:00,15:00:00
529,1800,19:00:00,03:00:00
533,1800,10:00:00,15:00:00
544,1200,15:00:00,19:00:00
547,1800,19:00:00,03:00:00
560,1440,06:00:00,10:00:00
569,1800,10:00:00,15:00:00
581,3600,03:00:00,06:00:00
582,1800,06:00:00,10:00:00
590,1800,10:00:00,15:00:00
600,1800,15:00:00,19:00:00
608,1800,19:00:00,03:00:00
614,3600,03:00:00,06:00:00
615,1800,06:00:00,10:00:00
623,1800,10:00:00,15:00:00
633,1800,15:00:00,19:00:00
641,1800,19:00:00,03:00:00
648,2880,06:00:00,10:00:00
652,2571,10:00:00,15:00:00
659,2400,15:00:00,19:00:00
661,2880,06:00:00,10:00:00
664,2571,10:00:00,15:00:00
671,2400,15:00:00,19:00:00
677,1200,10:00:00,15:00:00
722,1309,06:00:00,10:00:00
