route_id_original,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,agency_raw_name,route_desc,route_url,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,route_id
ACE,CE,ACE,,2,,,ACE_2017_3_20,,,,,,,,1
1-118,AC Transit,1,Bayfair Bart- Dtn. Berkeley,3,,,ACTransit_2015_8_14,,,,,,,,2
11-118,AC Transit,11,Piedmont - Fruitvale Ave.,3,,,ACTransit_2015_8_14,,,,,,,,3
12-118,AC Transit,12,Dtn. Oakland /Dtn. Berkeley,3,,,ACTransit_2015_8_14,,,,,,,,4
14-118,AC Transit,14,11th Jefferson - Fruitvale Bart,3,,,ACTransit_2015_8_14,,,,,,,,5
18-118,AC Transit,18,San Pablo & Monroe - Moraga & Mountain,3,,,ACTransit_2015_8_14,,,,,,,,6
1R-118,AC Transit,1R,Univ/Calif - BYBA,3,,,ACTransit_2015_8_14,,,,,,,,7
20-118,AC Transit,20,Fruitvale ave - Alameda - 11th Jefferson,3,,,ACTransit_2015_8_14,,,,,,,,8
200-118,AC Transit,200,Union City BART-Newpark Mall-Fremont BART,3,,,ACTransit_2015_8_14,,,,,,,,9
21-118,AC Transit,21,Fruitvale ave - Alameda - Oakland Airport,3,,,ACTransit_2015_8_14,,,,,,,,10
210-118,AC Transit,210,Union Landing - Frmt. Blvd. - Ohlone,3,,,ACTransit_2015_8_14,,,,,,,,11
212-118,AC Transit,212,Fremont BART-Newpark Mall-Pacific Commons,3,,,ACTransit_2015_8_14,,,,,,,,12
215-118,AC Transit,215,Fremont BART-Mission-Warm Springs-Industrial Area,3,,,ACTransit_2015_8_14,,,,,,,,13
216-118,AC Transit,216,U.C. BART- Niles -Fremont BART-Ohlone Newark,3,,,ACTransit_2015_8_14,,,,,,,,14
217-118,AC Transit,217,Frmt BART - Mission - Milpitas - Alder,3,,,ACTransit_2015_8_14,,,,,,,,15
22-118,AC Transit,22,Hayward Bart -South Hayward Bart - Chabot,3,,,ACTransit_2015_8_14,,,,,,,,16
232-118,AC Transit,232,Fremont BART-U.C. BART-Mission-Ohlone Newark,3,,,ACTransit_2015_8_14,,,,,,,,17
