trip_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,stop_distance,timepoint,stop_is_skipped,stop_id
14941148-JUN19-MVS-BUS-Weekday-01,00:00:00,00:00:00,46,0,0,,,,72333
14941148-JUN19-MVS-BUS-Weekday-01,00:01:00,00:01:00,47,0,0,,,,83136
14941148-JUN19-MVS-BUS-Weekday-01,00:01:00,00:01:00,48,0,0,,,,66544
14941148-JUN19-MVS-BUS-Weekday-01,00:02:00,00:02:00,49,0,0,,,,67198
14941148-JUN19-MVS-BUS-Weekday-01,00:02:00,00:02:00,50,0,0,,,,83737
14941148-JUN19-MVS-BUS-Weekday-01,00:03:00,00:03:00,51,0,0,,,,47239
14941148-JUN19-MVS-BUS-Weekday-01,00:03:00,00:03:00,52,0,0,,,,66380
14941148-JUN19-MVS-BUS-Weekday-01,00:04:00,00:04:00,53,0,0,,,,80043
14941148-JUN19-MVS-BUS-Weekday-01,00:04:00,00:04:00,54,0,0,,,,80043
14941148-JUN19-MVS-BUS-Weekday-01,00:05:00,00:05:00,55,0,0,,,,7078
14941148-JUN19-MVS-BUS-Weekday-01,00:05:00,00:05:00,56,0,0,,,,71430
14941148-JUN19-MVS-BUS-Weekday-01,00:06:00,00:06:00,57,0,0,,,,71975
14941148-JUN19-MVS-BUS-Weekday-01,00:06:00,00:06:00,58,0,0,,,,48532
14941148-JUN19-MVS-BUS-Weekday-01,00:07:00,00:07:00,59,0,0,,,,83611
14941148-JUN19-MVS-BUS-Weekday-01,00:08:00,00:08:00,60,0,0,,,,82196
14941148-JUN19-MVS-BUS-Weekday-01,00:08:00,00:08:00,61,0,0,,,,72216
14941148-JUN19-MVS-BUS-Weekday-01,00:09:00,00:09:00,62,0,0,,,,83609
14941148-JUN19-MVS-BUS-Weekday-01,00:10:00,00:10:00,63,0,0,,,,74090
14941148-JUN19-MVS-BUS-Weekday-01,00:10:00,00:10:00,64,0,0,,,,47969
14941148-JUN19-MVS-BUS-Weekday-01,00:10:00,00:10:00,65,0,0,,,,57530
14941148-JUN19-MVS-BUS-Weekday-01,00:11:00,00:11:00,66,0,0,,,,82056
14941148-JUN19-MVS-BUS-Weekday-01,00:12:00,00:12:00,67,0,0,,,,78303
14941148-JUN19-MVS-BUS-Weekday-01,00:12:00,00:12:00,68,0,0,,,,134504
14941148-JUN19-MVS-BUS-Weekday-01,00:13:00,00:13:00,69,0,0,,,,134506
14941148-JUN19-MVS-BUS-Weekday-01,00:14:00,00:14:00,70,0,0,,,,134498
14941148-JUN19-MVS-BUS-Weekday-01,00:16:00,00:16:00,71,0,0,,,,52718
14941148-JUN19-MVS-BUS-Weekday-01,00:17:00,00:17:00,72,0,0,,,,23486
14941148-JUN19-MVS-BUS-Weekday-01,00:18:00,00:18:00,73,0,0,,,,70841
14941148-JUN19-MVS-BUS-Weekday-01,00:19:00,00:19:00,74,0,0,,,,70839
14941148-JUN19-MVS-BUS-Weekday-01,00:20:00,00:20:00,75,0,0,,,,92330
14941148-JUN19-MVS-BUS-Weekday-01,00:24:00,00:24:00,76,1,0,,,,45983
14941151-JUN19-MVS-BUS-Weekday-01,00:00:00,00:00:00,1,0,0,,,,45983
14941151-JUN19-MVS-BUS-Weekday-01,00:04:00,00:04:00,2,0,0,,,,92316
14941151-JUN19-MVS-BUS-Weekday-01,00:04:00,00:04:00,3,0,0,,,,41989
14941151-JUN19-MVS-BUS-Weekday-01,00:05:00,00:05:00,4,0,0,,,,41991
14941151-JUN19-MVS-BUS-Weekday-01,00:05:00,00:05:00,5,0,0,,,,41623
14941151-JUN19-MVS-BUS-Weekday-01,00:06:00,00:06:00,6,0,0,,,,41993
14941151-JUN19-MVS-BUS-Weekday-01,00:07:00,00:07:00,7,0,0,,,,64287
14941151-JUN19-MVS-BUS-Weekday-01,00:10:00,00:10:00,8,0,0,,,,4219
14941151-JUN19-MVS-BUS-Weekday-01,00:11:00,00:11:00,9,0,0,,,,134498
14941151-JUN19-MVS-BUS-Weekday-01,00:11:00,00:11:00,10,0,0,,,,68705
14941151-JUN19-MVS-BUS-Weekday-01,00:12:00,00:12:00,11,0,0,,,,134504
14941151-JUN19-MVS-BUS-Weekday-01,00:13:00,00:13:00,12,0,0,,,,78323
14941151-JUN19-MVS-BUS-Weekday-01,00:13:00,00:13:00,13,0,0,,,,93192
14941151-JUN19-MVS-BUS-Weekday-01,00:13:00,00:13:00,14,0,0,,,,57530
14941151-JUN19-MVS-BUS-Weekday-01,00:14:00,00:14:00,15,0,0,,,,47969
14941151-JUN19-MVS-BUS-Weekday-01,00:14:00,00:14:00,16,0,0,,,,74090
14941151-JUN19-MVS-BUS-Weekday-01,00:15:00,00:15:00,17,0,0,,,,83609
14941151-JUN19-MVS-BUS-Weekday-01,00:15:00,00:15:00,18,0,0,,,,72216
14941151-JUN19-MVS-BUS-Weekday-01,00:16:00,00:16:00,19,0,0,,,,82196
14941151-JUN19-MVS-BUS-Weekday-01,00:16:00,00:16:00,20,0,0,,,,83611
14941151-JUN19-MVS-BUS-Weekday-01,00:17:00,00:17:00,21,0,0,,,,48532
14941151-JUN19-MVS-BUS-Weekday-01,00:17:00,00:17:00,22,0,0,,,,71975
14941151-JUN19-MVS-BUS-Weekday-01,00:18:00,00:18:00,23,0,0,,,,71430
14941151-JUN19-MVS-BUS-Weekday-01,00:18:00,00:18:00,24,0,0,,,,66415
14941151-JUN19-MVS-BUS-Weekday-01,00:19:00,00:19:00,25,0,0,,,,7078
14941151-JUN19-MVS-BUS-Weekday-01,00:19:00,00:19:00,26,0,0,,,,80043
14941151-JUN19-MVS-BUS-Weekday-01,00:19:00,00:19:00,27,0,0,,,,66380
14941151-JUN19-MVS-BUS-Weekday-01,00:20:00,00:20:00,28,0,0,,,,47239
14941151-JUN19-MVS-BUS-Weekday-01,00:20:00,00:20:00,29,0,0,,,,83737
14941151-JUN19-MVS-BUS-Weekday-01,00:21:00,00:21:00,30,0,0,,,,67198
14941151-JUN19-MVS-BUS-Weekday-01,00:21:00,00:21:00,31,0,0,,,,66544
14941151-JUN19-MVS-BUS-Weekday-01,00:22:00,00:22:00,32,0,0,,,,83136
14941151-JUN19-MVS-BUS-Weekday-01,00:22:00,00:22:00,33,0,0,,,,123049
14941153-JUN19-MVS-BUS-Weekday-01,00:00:00,00:00:00,1,0,0,,,,45983
14941153-JUN19-MVS-BUS-Weekday-01,00:04:00,00:04:00,2,0,0,,,,92316
