from_stop_id,to_stop_id,transfer_type,min_transfer_time
15114,15114,2,300
15116,15116,2,300
15116,18811,2,300
15116,18875,2,300
16607,4478,2,300
17307,17307,2,300
17307,51450,2,300
17307,51452,2,300
17312,17312,2,300
17312,3089,2,300
17312,3114,2,300
17318,10138,2,300
17318,10157,2,300
17318,17318,2,300
17332,17332,2,300
17366,17366,2,300
17366,3089,2,300
17366,3114,2,300
17371,17371,2,300
17371,51450,2,300
17371,51452,2,300
18508,18508,2,300
18523,18523,2,300
18523,866,2,300
18523,931,2,300
4283,18694,2,300
4283,42032,2,300
4283,4283,2,300
50010,10628,2,300
50010,10629,2,300
50010,10652,2,300
50010,10653,2,300
50010,50010,2,300
50013,3958,2,300
50013,41751,2,300
50013,53743,2,300
50015,3958,2,300
50015,41751,2,300
50015,53743,2,300
50032,10628,2,300
50032,10629,2,300
50032,10652,2,300
50032,10653,2,300
50032,50032,2,300
51514,16498,2,300
51514,53134,2,300
51544,51415,2,300
51544,51430,2,300
51544,51545,2,300
51544,51549,2,300
51544,51550,2,300
51544,51551,2,300
52531,52530,2,300
52531,52531,2,300
52531,52532,2,300
56112,13095,2,300
56112,42439,2,300
56112,4286,2,300
56113,18697,2,300
56114,56114,2,300
56115,11716,2,300
56115,11717,2,300
56115,56115,2,300
56116,10138,2,300
56116,10157,2,300
56116,56116,2,300
56117,15130,2,300
56117,15863,2,300
56117,56008,2,300
56117,56036,2,300
56117,56292,2,300
56117,56293,2,300
56118,18811,2,300
56118,18875,2,300
56118,56118,2,300
56119,18523,2,300
56119,56119,2,300
56119,866,2,300
56119,931,2,300
56120,56120,2,300
56122,15130,2,300
56122,15863,2,300
56122,56008,2,300
56122,56036,2,300
56122,56292,2,300
56122,56293,2,300
56123,11716,2,300
56123,11717,2,300
56123,56123,2,300
56124,56124,2,300
56125,18694,2,300
56125,42032,2,300
56126,11760,2,300
56126,13095,2,300
56126,42439,2,300
56126,4282,2,300
56126,4286,2,300
56128,16498,2,300
56128,53134,2,300
